Date,Open,High,Low,Close,Adj Close,Volume
2021-07-08,8.250000,8.250000,8.090000,8.130000,8.130000,503400
2021-07-09,8.170000,8.310000,8.120000,8.200000,8.200000,240700
2021-07-12,8.140000,8.610000,8.100000,8.580000,8.580000,506300
2021-07-13,8.590000,8.590000,8.330000,8.500000,8.500000,607600
2021-07-14,8.410000,8.670000,8.410000,8.540000,8.540000,641200
2021-07-15,8.490000,8.580000,8.320000,8.350000,8.350000,472900
2021-07-16,8.350000,8.380000,8.110000,8.180000,8.180000,397900
2021-07-19,8.060000,8.080000,7.890000,7.940000,7.940000,1280600
2021-07-20,7.900000,8.050000,7.730000,8.030000,8.030000,712000
2021-07-21,8.030000,8.460000,8.030000,8.380000,8.380000,529400
2021-07-22,8.350000,8.350000,8.070000,8.120000,8.120000,738300
2021-07-23,8.130000,8.280000,7.930000,7.970000,7.970000,559700
2021-07-26,7.960000,8.250000,7.960000,8.150000,8.150000,410200
2021-07-27,8.080000,8.220000,8.020000,8.090000,8.090000,426300
2021-07-28,8.130000,8.300000,8.110000,8.260000,8.260000,291000
2021-07-29,8.280000,8.280000,8.020000,8.080000,8.080000,812300
2021-07-30,8.080000,8.080000,7.800000,7.810000,7.810000,1288300
2021-08-02,7.820000,7.940000,7.760000,7.790000,7.790000,517200
2021-08-03,7.770000,8.030000,7.690000,8.020000,8.020000,480800
2021-08-04,8.020000,8.110000,7.870000,7.960000,7.960000,343800
2021-08-05,7.970000,8.260000,7.970000,8.100000,8.100000,338700
2021-08-06,8.120000,8.300000,8.120000,8.210000,8.210000,357100
2021-08-09,8.280000,8.280000,8.040000,8.200000,8.200000,504800
2021-08-10,8.210000,8.550000,8.140000,8.550000,8.550000,664200
2021-08-11,8.510000,8.770000,8.300000,8.710000,8.710000,962100
2021-08-12,8.740000,8.810000,8.470000,8.710000,8.710000,625800
2021-08-13,8.750000,8.750000,8.370000,8.480000,8.480000,579100
2021-08-16,8.410000,8.550000,8.330000,8.360000,8.360000,208500
2021-08-17,8.270000,8.500000,8.200000,8.320000,8.320000,496900
2021-08-18,8.200000,8.420000,8.150000,8.190000,8.190000,708600
2021-08-19,8.130000,8.310000,8.070000,8.300000,8.300000,560000
2021-08-20,8.270000,8.670000,8.270000,8.550000,8.550000,423200
2021-08-23,8.670000,9.010000,8.640000,8.960000,8.960000,836100
2021-08-24,8.970000,9.770000,8.940000,9.740000,9.740000,1775700
2021-08-25,9.640000,10.150000,9.420000,10.120000,10.120000,1467200
2021-08-26,10.150000,10.230000,9.890000,10.050000,10.050000,1129300
2021-08-27,10.050000,10.750000,10.010000,10.230000,10.230000,1340600
2021-08-30,10.250000,11.100000,10.040000,10.980000,10.980000,2493900
2021-08-31,10.830000,11.220000,10.520000,10.780000,10.780000,1608800
2021-09-01,10.780000,11.100000,10.460000,10.550000,10.550000,1428100
2021-09-02,10.730000,10.890000,10.320000,10.360000,10.360000,852300
2021-09-03,10.350000,10.450000,10.240000,10.280000,10.280000,491100
2021-09-07,10.420000,11.270000,10.310000,11.160000,11.160000,1951100
2021-09-08,11.160000,11.450000,10.500000,11.080000,11.080000,1785600
2021-09-09,11.110000,11.490000,10.610000,10.820000,10.820000,1118000
2021-09-10,10.850000,11.140000,10.470000,10.560000,10.560000,1325200
2021-09-13,12.220000,12.750000,11.330000,11.540000,11.540000,4743600
2021-09-14,11.340000,11.910000,11.190000,11.240000,11.240000,1624000
2021-09-15,11.130000,11.410000,10.680000,11.020000,11.020000,1369000
2021-09-16,10.900000,11.310000,10.580000,11.070000,11.070000,1102900
2021-09-17,11.180000,11.410000,10.880000,10.980000,10.980000,949800
2021-09-20,10.500000,10.500000,9.760000,9.830000,9.830000,1654200
2021-09-21,9.970000,10.030000,9.590000,9.610000,9.610000,911000
2021-09-22,9.750000,10.030000,9.700000,9.700000,9.700000,750800
2021-09-23,9.730000,9.880000,9.590000,9.590000,9.590000,541200
2021-09-24,9.480000,9.620000,9.330000,9.380000,9.380000,543900
2021-09-27,9.400000,9.800000,9.320000,9.690000,9.690000,478400
2021-09-28,9.600000,9.810000,9.440000,9.600000,9.600000,511100
2021-09-29,9.650000,9.960000,9.650000,9.760000,9.760000,555600
2021-09-30,9.790000,10.250000,9.790000,10.070000,10.070000,914600
2021-10-01,10.140000,10.380000,10.020000,10.240000,10.240000,762800
2021-10-04,10.270000,10.430000,10.070000,10.150000,10.150000,391400
2021-10-05,10.210000,10.430000,10.120000,10.310000,10.310000,504100
2021-10-06,10.220000,10.300000,9.960000,10.230000,10.230000,702500
2021-10-07,10.390000,10.480000,10.220000,10.230000,10.230000,727800
2021-10-08,10.220000,10.550000,10.140000,10.250000,10.250000,437300
2021-10-11,10.190000,10.600000,10.100000,10.310000,10.310000,489000
2021-10-12,10.420000,10.570000,10.290000,10.350000,10.350000,441800
